Description,Inside/Outside,Weapon,Latitude,Longitude,HourBin,cluster
COMMON ASSAULT,Inside,HANDS,39.28165,-76.65187,Night,0
AGG. ASSAULT,Outside,FIREARM,39.37118,-76.71049,Night,-1
COMMON ASSAULT,Inside,HANDS,39.28275,-76.57704,Morning,1
COMMON ASSAULT,Outside,HANDS,39.27727,-76.61436,Morning,13
ROBBERY - COMMERCIAL,Outside,OTHER,39.31237,-76.61803,Morning,-1
AGG. ASSAULT,Outside,OTHER,39.29147,-76.62105,Morning,25
AGG. ASSAULT,Inside,FIREARM,39.29011,-76.61229,Morning,-1
AGG. ASSAULT,Outside,OTHER,39.29455,-76.6126,Morning,25
AGG. ASSAULT,Inside,OTHER,39.31091,-76.67523,Afternoon,22
AGG. ASSAULT,Inside,KNIFE,39.29301,-76.61735,Afternoon,23
AGG. ASSAULT,Inside,FIREARM,39.36706,-76.57274,Afternoon,-1
AGG. ASSAULT,Inside,OTHER,39.31815,-76.57266,Afternoon,22
AGG. ASSAULT,Outside,FIREARM,39.31071,-76.65576,Afternoon,31
ROBBERY - STREET,Outside,KNIFE,39.32721,-76.58447,Afternoon,-1
AGG. ASSAULT,Outside,KNIFE,39.32721,-76.58447,Afternoon,29
ROBBERY - STREET,Outside,KNIFE,39.29108,-76.61469,Afternoon,39
COMMON ASSAULT,Inside,HANDS,39.29621,-76.69084,Afternoon,7
AGG. ASSAULT,Outside,FIREARM,39.30942,-76.64177,Afternoon,31
ROBBERY - STREET,Outside,FIREARM,39.33017,-76.59214,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.3002,-76.60259,Afternoon,7
AGG. ASSAULT,Inside,HANDS,39.29194,-76.68927,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.34251,-76.5453,Evening,11
COMMON ASSAULT,Outside,HANDS,39.34437,-76.54263,Evening,11
ROBBERY - COMMERCIAL,Inside,FIREARM,39.26843,-76.67737,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.29056,-76.61108,Evening,11
COMMON ASSAULT,Inside,HANDS,39.30476,-76.61034,Evening,8
COMMON ASSAULT,Outside,HANDS,39.29354,-76.57623,Evening,11
COMMON ASSAULT,Inside,HANDS,39.33103,-76.69452,Evening,8
ROBBERY - STREET,Outside,OTHER,39.28038,-76.57102,Evening,-1
ROBBERY - COMMERCIAL,Inside,FIREARM,39.29655,-76.56626,Evening,40
ROBBERY - STREET,Outside,FIREARM,39.29049,-76.58912,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.29049,-76.58912,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.29049,-76.58912,Evening,9
COMMON ASSAULT,Outside,HANDS,39.35655,-76.70307,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.29182,-76.5709,Evening,9
COMMON ASSAULT,Outside,HANDS,39.33255,-76.58896,Evening,11
AGG. ASSAULT,Inside,HANDS,39.29032,-76.65338,Evening,19
COMMON ASSAULT,Outside,HANDS,39.29277,-76.64722,Evening,11
AGG. ASSAULT,Outside,FIREARM,39.33574,-76.55511,Evening,21
ROBBERY - COMMERCIAL,Inside,FIREARM,39.34239,-76.56983,Evening,42
COMMON ASSAULT,Inside,HANDS,39.30795,-76.58195,Evening,8
ROBBERY - STREET,Outside,OTHER,39.30448,-76.59803,Evening,34
COMMON ASSAULT,Outside,HANDS,39.28337,-76.64077,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.3566,-76.54117,Evening,9
COMMON ASSAULT,Inside,HANDS,39.28297,-76.60294,Night,0
COMMON ASSAULT,Inside,HANDS,39.27408,-76.62769,Night,0
COMMON ASSAULT,Inside,HANDS,39.28945,-76.67701,Night,0
COMMON ASSAULT,Outside,HANDS,39.29866,-76.58776,Night,26
COMMON ASSAULT,Inside,HANDS,39.35288,-76.55784,Night,0
AGG. ASSAULT,Outside,FIREARM,39.30951,-76.63487,Night,33
AGG. ASSAULT,Outside,HANDS,39.31013,-76.64152,Night,-1
AGG. ASSAULT,Outside,HANDS,39.31013,-76.64152,Night,-1
COMMON ASSAULT,Outside,HANDS,39.31231,-76.59164,Morning,13
COMMON ASSAULT,Outside,HANDS,39.29304,-76.6168,Morning,13
COMMON ASSAULT,Outside,HANDS,39.29304,-76.6168,Morning,13
COMMON ASSAULT,Inside,HANDS,39.29658,-76.59752,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.28835,-76.60683,Afternoon,6
ROBBERY - COMMERCIAL,Inside,FIREARM,39.34761,-76.67371,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.35907,-76.55824,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.34353,-76.63693,Afternoon,-1
ROBBERY - STREET,Outside,FIREARM,39.34353,-76.63693,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.32133,-76.61441,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.31607,-76.61337,Afternoon,6
COMMON ASSAULT,Outside,HANDS,39.30204,-76.63285,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.29312,-76.56831,Afternoon,7
AGG. ASSAULT,Inside,KNIFE,39.29545,-76.57344,Afternoon,23
COMMON ASSAULT,Inside,HANDS,39.31533,-76.57803,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.28908,-76.61775,Evening,17
ROBBERY - COMMERCIAL,Inside,KNIFE,39.29879,-76.58419,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.29477,-76.63703,Evening,8
ROBBERY - COMMERCIAL,Outside,FIREARM,39.29414,-76.64976,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.31824,-76.6783,Evening,9
COMMON ASSAULT,Inside,HANDS,39.35952,-76.58856,Evening,8
AGG. ASSAULT,Outside,KNIFE,39.30431,-76.59802,Evening,17
AGG. ASSAULT,Inside,OTHER,39.30431,-76.59802,Evening,18
COMMON ASSAULT,Inside,HANDS,39.35006,-76.54334,Evening,8
COMMON ASSAULT,Outside,HANDS,41.55945,-76.61234,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.30074,-76.65669,Morning,1
COMMON ASSAULT,Outside,HANDS,39.29659,-76.58951,Morning,13
COMMON ASSAULT,Inside,HANDS,39.33323,-76.53453,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30688,-76.61068,Morning,1
COMMON ASSAULT,Inside,HANDS,39.34256,-76.69643,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30807,-76.58567,Night,0
ROBBERY - STREET,Outside,FIREARM,39.32356,-76.59549,Night,2
COMMON ASSAULT,Inside,HANDS,39.30817,-76.64643,Morning,1
COMMON ASSAULT,Inside,HANDS,39.29739,-76.65951,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.35907,-76.55824,Afternoon,7
ROBBERY - COMMERCIAL,Inside,OTHER,39.33756,-76.63474,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.29375,-76.6136,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.31539,-76.65423,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.29957,-76.65529,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.29658,-76.59752,Afternoon,7
ROBBERY - STREET,Outside,KNIFE,39.32855,-76.59214,Afternoon,-1
ROBBERY - STREET,Outside,KNIFE,39.32855,-76.59214,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.29131,-76.6101,Afternoon,5
AGG. ASSAULT,Outside,KNIFE,39.29123,-76.6059,Afternoon,29
COMMON ASSAULT,Outside,HANDS,39.30561,-76.63018,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.28378,-76.65527,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.34894,-76.60826,Afternoon,7
ROBBERY - STREET,Outside,KNIFE,39.32934,-76.5942,Afternoon,-1
RAPE,Inside,OTHER,39.28567,-76.56605,Afternoon,-1
RAPE,Inside,OTHER,39.28567,-76.56605,Afternoon,-1
RAPE,Outside,OTHER,39.30452,-76.63906,Afternoon,-1
ROBBERY - RESIDENCE,Inside,FIREARM,39.28209,-76.64268,Afternoon,-1
AGG. ASSAULT,Inside,KNIFE,39.32188,-76.56445,Afternoon,-1
RAPE,Inside,OTHER,39.34787,-76.67786,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.31936,-76.56552,Afternoon,7
AGG. ASSAULT,Outside,FIREARM,39.28517,-76.64621,Afternoon,31
COMMON ASSAULT,Inside,HANDS,39.31754,-76.55711,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.30151,-76.64764,Afternoon,7
AGG. ASSAULT,Outside,OTHER,39.30311,-76.58056,Evening,10
ROBBERY - STREET,Outside,FIREARM,39.28118,-76.57481,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.28603,-76.55493,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.29505,-76.56962,Evening,9
COMMON ASSAULT,Inside,HANDS,39.33534,-76.66064,Evening,8
AGG. ASSAULT,Inside,KNIFE,39.34302,-76.66916,Evening,12
COMMON ASSAULT,Inside,HANDS,39.33008,-76.59272,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.31527,-76.6176,Evening,9
AGG. ASSAULT,Inside,FIREARM,39.33799,-76.70449,Evening,-1
ROBBERY - COMMERCIAL,Inside,FIREARM,39.23189,-76.5925,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.29254,-76.59954,Evening,9
AGG. ASSAULT,Inside,KNIFE,39.30394,-76.60414,Evening,12
AGG. ASSAULT,Outside,FIREARM,39.34241,-76.54535,Night,-1
AGG. ASSAULT,Outside,FIREARM,39.28646,-76.59349,Night,33
COMMON ASSAULT,Outside,HANDS,39.30486,-76.64624,Night,26
AGG. ASSAULT,Outside,OTHER,39.29745,-76.65342,Morning,25
ROBBERY - STREET,Outside,FIREARM,39.33776,-76.55211,Morning,-1
RAPE,Inside,OTHER,39.30608,-76.64466,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.29346,-76.59986,Morning,14
COMMON ASSAULT,Inside,HANDS,39.31871,-76.65353,Morning,1
COMMON ASSAULT,Inside,HANDS,39.34504,-76.66282,Morning,1
AGG. ASSAULT,Inside,HANDS,39.32245,-76.60595,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.29185,-76.56872,Morning,1
ROBBERY - STREET,Outside,KNIFE,39.35571,-76.56512,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.31357,-76.67622,Morning,-1
RAPE,Inside,OTHER,39.30068,-76.62812,Afternoon,76
ROBBERY - STREET,Outside,KNIFE,39.33097,-76.59175,Afternoon,-1
AGG. ASSAULT,Outside,KNIFE,39.29843,-76.59365,Afternoon,29
AGG. ASSAULT,Outside,FIREARM,39.30582,-76.67078,Afternoon,31
AGG. ASSAULT,Outside,FIREARM,39.30582,-76.67078,Afternoon,31
COMMON ASSAULT,Outside,HANDS,39.29612,-76.57641,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.28655,-76.61134,Afternoon,7
ROBBERY - COMMERCIAL,Inside,FIREARM,39.31947,-76.6559,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.27307,-76.60384,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.31743,-76.57855,Afternoon,29
COMMON ASSAULT,Inside,HANDS,39.31868,-76.65399,Evening,8
COMMON ASSAULT,Inside,HANDS,39.28655,-76.61134,Evening,8
ROBBERY - COMMERCIAL,Inside,KNIFE,39.28768,-76.54162,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.2827,-76.56385,Evening,9
COMMON ASSAULT,Outside,HANDS,39.27991,-76.61451,Evening,11
ROBBERY - CARJACKING,Outside,FIREARM,39.29068,-76.64537,Evening,-1
ROBBERY - CARJACKING,Inside,FIREARM,39.29123,-76.57284,Evening,-1
ROBBERY - CARJACKING,Outside,KNIFE,39.28378,-76.6176,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.2883,-76.60665,Evening,8
ROBBERY - CARJACKING,Outside,FIREARM,39.30196,-76.62034,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.29382,-76.58407,Evening,9
COMMON ASSAULT,Outside,HANDS,39.32448,-76.53918,Evening,11
AGG. ASSAULT,Inside,HANDS,39.346,-76.58751,Evening,-1
AGG. ASSAULT,Inside,KNIFE,39.30983,-76.60287,Evening,12
COMMON ASSAULT,Inside,HANDS,39.31144,-76.64822,Evening,8
AGG. ASSAULT,Outside,KNIFE,39.28575,-76.67387,Evening,-1
AGG. ASSAULT,Outside,OTHER,39.25399,-76.65559,Evening,10
COMMON ASSAULT,Inside,HANDS,39.36934,-76.56323,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.36934,-76.56323,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.31442,-76.58198,Afternoon,29
AGG. ASSAULT,Outside,OTHER,39.30177,-76.68547,Afternoon,-1
ROBBERY - CARJACKING,Outside,OTHER,39.25266,-76.61681,Afternoon,-1
AGG. ASSAULT,Outside,FIREARM,39.28838,-76.64151,Afternoon,31
COMMON ASSAULT,Inside,HANDS,39.312,-76.63134,Evening,8
COMMON ASSAULT,Inside,HANDS,39.312,-76.63134,Evening,8
COMMON ASSAULT,Outside,HANDS,39.32868,-76.62972,Night,26
COMMON ASSAULT,Outside,HANDS,39.32868,-76.62972,Night,26
COMMON ASSAULT,Outside,HANDS,39.32868,-76.62972,Night,26
ROBBERY - STREET,Outside,FIREARM,39.29294,-76.58544,Night,2
COMMON ASSAULT,Inside,HANDS,39.33251,-76.63914,Night,0
COMMON ASSAULT,Inside,HANDS,39.33251,-76.63914,Night,0
ROBBERY - RESIDENCE,Inside,FIREARM,39.31537,-76.67689,Night,-1
ROBBERY - RESIDENCE,Inside,FIREARM,39.31537,-76.67689,Night,-1
COMMON ASSAULT,Inside,HANDS,39.22361,-76.59117,Night,0
COMMON ASSAULT,Inside,HANDS,39.29913,-76.64569,Morning,1
ROBBERY - STREET,Outside,FIREARM,39.31524,-76.5937,Morning,14
ROBBERY - COMMERCIAL,Inside,KNIFE,39.29483,-76.57193,Morning,-1
COMMON ASSAULT,Outside,HANDS,39.37111,-76.59287,Morning,-1
AGG. ASSAULT,Inside,KNIFE,39.2829,-76.64138,Morning,44
ROBBERY - STREET,Outside,FIREARM,39.29437,-76.68407,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.28317,-76.59818,Morning,14
ROBBERY - CARJACKING,Outside,FIREARM,39.28317,-76.59818,Morning,-1
COMMON ASSAULT,Outside,HANDS,39.29049,-76.61682,Afternoon,5
ROBBERY - CARJACKING,Outside,FIREARM,39.30862,-76.6281,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.26336,-76.63187,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.28776,-76.6147,Afternoon,29
COMMON ASSAULT,Outside,HANDS,39.34607,-76.53477,Evening,11
COMMON ASSAULT,Outside,HANDS,39.34607,-76.53477,Evening,11
ROBBERY - RESIDENCE,Inside,FIREARM,39.33004,-76.66385,Evening,-1
ROBBERY - RESIDENCE,Inside,FIREARM,39.33004,-76.66385,Evening,-1
ROBBERY - RESIDENCE,Inside,FIREARM,39.33004,-76.66385,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.2312,-76.59052,Evening,8
COMMON ASSAULT,Inside,HANDS,39.31372,-76.59054,Evening,8
AGG. ASSAULT,Outside,FIREARM,39.23845,-76.60961,Evening,30
AGG. ASSAULT,Outside,FIREARM,39.23845,-76.60961,Evening,30
AGG. ASSAULT,Outside,FIREARM,39.23845,-76.60961,Evening,30
ROBBERY - STREET,Outside,OTHER,39.2892,-76.62441,Evening,41
COMMON ASSAULT,Inside,HANDS,39.29442,-76.58269,Evening,8
COMMON ASSAULT,Outside,HANDS,39.2684,-76.65047,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.29915,-76.63467,Evening,9
AGG. ASSAULT,Inside,KNIFE,39.33786,-76.65898,Evening,12
AGG. ASSAULT,Inside,HANDS,39.31536,-76.57673,Evening,19
COMMON ASSAULT,Inside,HANDS,39.24429,-76.62696,Night,0
AGG. ASSAULT,Outside,HANDS,39.34272,-76.57905,Night,-1
COMMON ASSAULT,Outside,HANDS,39.34272,-76.57905,Night,26
COMMON ASSAULT,Inside,HANDS,39.23566,-76.61169,Night,0
COMMON ASSAULT,Inside,HANDS,39.34732,-76.66831,Night,0
COMMON ASSAULT,Inside,HANDS,39.3334,-76.69475,Night,0
AGG. ASSAULT,Outside,HANDS,39.28106,-76.59479,Night,45
COMMON ASSAULT,Outside,HANDS,39.2875,-76.54605,Night,26
ROBBERY - STREET,Outside,KNIFE,39.23883,-76.60942,Night,-1
COMMON ASSAULT,Inside,HANDS,39.36691,-76.60964,Night,0
COMMON ASSAULT,Inside,HANDS,39.36691,-76.60964,Night,0
AGG. ASSAULT,Outside,OTHER,39.32038,-76.60951,Morning,25
COMMON ASSAULT,Inside,HANDS,39.29875,-76.58507,Morning,1
COMMON ASSAULT,Outside,HANDS,39.33345,-76.67874,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.30886,-76.59148,Afternoon,7
AGG. ASSAULT,Inside,OTHER,39.30886,-76.59148,Afternoon,22
ROBBERY - STREET,Outside,FIREARM,39.31113,-76.65283,Afternoon,6
AGG. ASSAULT,Inside,KNIFE,39.29876,-76.64765,Afternoon,23
ROBBERY - STREET,Outside,FIREARM,39.29505,-76.65084,Afternoon,6
ROBBERY - STREET,Outside,KNIFE,39.2637,-76.6503,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.26639,-76.65273,Afternoon,7
ROBBERY - STREET,Inside,KNIFE,39.33902,-76.54004,Afternoon,-1
AGG. ASSAULT,Inside,OTHER,39.32088,-76.56422,Afternoon,22
ROBBERY - STREET,Outside,FIREARM,39.31208,-76.63869,Afternoon,6
ROBBERY - STREET,Outside,FIREARM,39.31434,-76.67469,Afternoon,6
AGG. ASSAULT,Outside,FIREARM,39.30448,-76.54914,Afternoon,-1
AGG. ASSAULT,Outside,FIREARM,39.29689,-76.63331,Afternoon,31
AGG. ASSAULT,Outside,KNIFE,39.30192,-76.63277,Evening,17
ROBBERY - STREET,Outside,KNIFE,39.28886,-76.59703,Evening,27
ROBBERY - STREET,Outside,KNIFE,39.28886,-76.59703,Evening,27
COMMON ASSAULT,Inside,HANDS,39.31708,-76.57545,Evening,8
COMMON ASSAULT,Inside,HANDS,39.29937,-76.59712,Evening,8
AGG. ASSAULT,Outside,OTHER,39.29451,-76.66302,Evening,10
AGG. ASSAULT,Outside,HANDS,39.2856,-76.63808,Evening,67
ROBBERY - STREET,Outside,KNIFE,39.33627,-76.67566,Evening,-1
ROBBERY - STREET,Outside,KNIFE,39.33627,-76.67566,Evening,-1
ROBBERY - CARJACKING,Outside,FIREARM,39.31253,-76.64548,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.28706,-76.55642,Evening,11
ROBBERY - CARJACKING,Outside,FIREARM,39.29067,-76.64711,Evening,-1
AGG. ASSAULT,Inside,KNIFE,39.2458,-76.62835,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.32432,-76.54078,Evening,9
COMMON ASSAULT,Outside,HANDS,39.33563,-76.68954,Evening,11
AGG. ASSAULT,Outside,FIREARM,39.23844,-76.60117,Evening,30
COMMON ASSAULT,Outside,HANDS,39.29883,-76.61042,Evening,11
ROBBERY - CARJACKING,Outside,KNIFE,39.29479,-76.5788,Evening,-1
ROBBERY - STREET,Outside,KNIFE,39.29479,-76.5788,Evening,27
COMMON ASSAULT,Inside,HANDS,39.28986,-76.60792,Evening,8
COMMON ASSAULT,Inside,HANDS,39.28986,-76.60792,Evening,8
COMMON ASSAULT,Inside,HANDS,39.28986,-76.60792,Evening,8
COMMON ASSAULT,Outside,HANDS,39.34131,-76.54711,Evening,11
COMMON ASSAULT,Outside,HANDS,39.29689,-76.63331,Evening,11
COMMON ASSAULT,Outside,HANDS,39.30153,-76.658,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.23561,-76.60815,Evening,66
ROBBERY - STREET,Outside,FIREARM,39.32411,-76.5961,Night,2
ROBBERY - STREET,Inside,KNIFE,39.30804,-76.64492,Night,-1
ROBBERY - STREET,Outside,FIREARM,39.30789,-76.63296,Night,2
COMMON ASSAULT,Outside,HANDS,39.28894,-76.59514,Night,26
ROBBERY - STREET,Outside,FIREARM,39.35015,-76.56444,Night,-1
COMMON ASSAULT,Inside,HANDS,39.29571,-76.65045,Morning,1
AGG. ASSAULT,Outside,FIREARM,39.31009,-76.67422,Morning,-1
ROBBERY - STREET,Outside,KNIFE,39.33097,-76.59175,Morning,-1
ROBBERY - STREET,Outside,KNIFE,39.33097,-76.59175,Morning,-1
ROBBERY - STREET,Outside,KNIFE,39.33097,-76.59175,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.29774,-76.5851,Morning,1
COMMON ASSAULT,Inside,HANDS,39.28342,-76.65583,Morning,1
AGG. ASSAULT,Inside,KNIFE,39.29247,-76.61006,Morning,44
COMMON ASSAULT,Inside,HANDS,39.29658,-76.59752,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.29426,-76.58627,Afternoon,7
AGG. ASSAULT,Inside,KNIFE,39.28655,-76.61134,Afternoon,23
ROBBERY - STREET,Outside,KNIFE,39.27288,-76.62951,Afternoon,39
COMMON ASSAULT,Inside,HANDS,39.31961,-76.59242,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.27891,-76.62386,Afternoon,29
COMMON ASSAULT,Inside,HANDS,39.30623,-76.57751,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.29343,-76.57914,Afternoon,5
RAPE,Inside,OTHER,39.30927,-76.57541,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.30005,-76.66166,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.28763,-76.63812,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.29194,-76.68927,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.34785,-76.67045,Afternoon,5
ROBBERY - COMMERCIAL,Inside,FIREARM,39.35212,-76.68401,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.2965,-76.57057,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.30981,-76.64917,Afternoon,7
AGG. ASSAULT,Outside,FIREARM,39.32037,-76.68081,Afternoon,-1
AGG. ASSAULT,Inside,FIREARM,39.31029,-76.63785,Evening,24
COMMON ASSAULT,Inside,HANDS,39.36178,-76.69912,Evening,8
COMMON ASSAULT,Inside,HANDS,39.36178,-76.69912,Evening,8
COMMON ASSAULT,Inside,HANDS,39.3235,-76.54963,Evening,8
COMMON ASSAULT,Inside,HANDS,39.29367,-76.5741,Evening,8
ROBBERY - STREET,Outside,KNIFE,39.2928,-76.6226,Evening,27
ROBBERY - STREET,Outside,KNIFE,39.2928,-76.6226,Evening,27
ROBBERY - STREET,Outside,FIREARM,39.28551,-76.59142,Evening,9
COMMON ASSAULT,Inside,HANDS,39.30156,-76.60728,Evening,8
COMMON ASSAULT,Outside,HANDS,39.28662,-76.63687,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.34108,-76.60899,Evening,9
AGG. ASSAULT,Inside,KNIFE,39.32364,-76.56421,Evening,12
COMMON ASSAULT,Inside,HANDS,39.31105,-76.6732,Evening,8
COMMON ASSAULT,Inside,HANDS,39.31105,-76.6732,Evening,8
AGG. ASSAULT,Outside,FIREARM,39.2985,-76.57226,Evening,21
AGG. ASSAULT,Outside,FIREARM,39.2985,-76.57226,Evening,21
AGG. ASSAULT,Outside,FIREARM,39.35066,-76.54909,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.2963,-76.57211,Evening,11
AGG. ASSAULT,Inside,FIREARM,39.33318,-76.53714,Evening,-1
ROBBERY - COMMERCIAL,Inside,KNIFE,39.31239,-76.61803,Evening,-1
ROBBERY - COMMERCIAL,Inside,KNIFE,39.31239,-76.61803,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.3208,-76.61224,Night,0
COMMON ASSAULT,Outside,HANDS,39.28132,-76.6363,Night,26
COMMON ASSAULT,Outside,HANDS,39.31496,-76.66049,Morning,13
COMMON ASSAULT,Outside,HANDS,39.31496,-76.66049,Morning,13
COMMON ASSAULT,Outside,HANDS,39.30125,-76.63187,Morning,13
COMMON ASSAULT,Outside,HANDS,39.29485,-76.57925,Morning,13
COMMON ASSAULT,Inside,HANDS,39.30822,-76.66576,Morning,1
COMMON ASSAULT,Inside,HANDS,39.28662,-76.60305,Morning,1
RAPE,Outside,OTHER,39.34505,-76.68655,Morning,-1
AGG. ASSAULT,Inside,KNIFE,39.33388,-76.59436,Morning,-1
ROBBERY - RESIDENCE,Inside,OTHER,39.32843,-76.55798,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.28988,-76.63967,Morning,1
COMMON ASSAULT,Inside,HANDS,39.28988,-76.63967,Afternoon,7
ROBBERY - STREET,Outside,OTHER,39.2906,-76.54296,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.36674,-76.56224,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.29656,-76.6429,Afternoon,7
AGG. ASSAULT,Outside,OTHER,39.2989,-76.65983,Afternoon,16
AGG. ASSAULT,Outside,OTHER,39.2989,-76.65983,Afternoon,16
AGG. ASSAULT,Outside,OTHER,39.2989,-76.65983,Afternoon,16
AGG. ASSAULT,Outside,OTHER,39.2989,-76.65983,Afternoon,16
COMMON ASSAULT,Outside,HANDS,39.24826,-76.62411,Afternoon,5
ROBBERY - STREET,Inside,OTHER,39.28739,-76.67357,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.33072,-76.53217,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.34251,-76.56368,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.35541,-76.69916,Evening,11
COMMON ASSAULT,Inside,HANDS,39.29288,-76.6741,Evening,8
COMMON ASSAULT,Outside,HANDS,39.34064,-76.59308,Evening,11
COMMON ASSAULT,Inside,HANDS,39.2881,-76.64888,Evening,8
COMMON ASSAULT,Inside,HANDS,39.29325,-76.55994,Evening,8
ROBBERY - COMMERCIAL,Inside,KNIFE,39.3271,-76.62735,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.29567,-76.61565,Evening,9
AGG. ASSAULT,Outside,FIREARM,39.30342,-76.639,Evening,21
ROBBERY - STREET,Outside,FIREARM,39.3677,-76.68995,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.29309,-76.58481,Evening,9
AGG. ASSAULT,Outside,FIREARM,39.33435,-76.68379,Evening,21
AGG. ASSAULT,Outside,FIREARM,39.30139,-76.60713,Evening,21
ROBBERY - COMMERCIAL,Inside,OTHER,39.25107,-76.64487,Night,-1
RAPE,Inside,OTHER,39.32134,-76.5532,Night,-1
ROBBERY - RESIDENCE,Inside,FIREARM,39.29367,-76.5741,Night,-1
COMMON ASSAULT,Inside,HANDS,39.29394,-76.57094,Morning,1
COMMON ASSAULT,Inside,HANDS,39.27725,-76.70019,Morning,1
AGG. ASSAULT,Inside,HANDS,39.31332,-76.61386,Morning,-1
AGG. ASSAULT,Inside,OTHER,39.36479,-76.57221,Afternoon,-1
AGG. ASSAULT,Inside,OTHER,39.36479,-76.57221,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.32573,-76.57081,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.35453,-76.60084,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.2957,-76.58144,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.2957,-76.58144,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.30009,-76.64447,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.29281,-76.67961,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.27625,-76.6961,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.28082,-76.69401,Afternoon,7
