Console,Title,US Sales (millions),YearReleased,Publisher,Genre,Sequel,Re-release,Usedprice,Review Score,MaxPlayers,Online,Multiplatform,SubGenres,AgeRating
Sony PSP,Midnight Club 3: DUB Edition,1.69,2005,Rockstar,Racing / Driving,1,0,14.95,74,1,1,1,Racing|FirstPerson|ThirdPerson,Unknown
Sony PSP,Need for Speed: Most Wanted 5-1-0,1.67,2005,EA,Racing / Driving,1,0,14.95,72,1,1,1,Racing|FirstPerson|ThirdPerson,Unknown
Nintendo DS,Pokemon Mystery Dungeon: Blue Rescue Team,1.22,2005,Nintendo,Role-Playing (RPG),1,0,14.95,62,1,0,0,RPG|Anime|TopDown|ThirdPerson,E
Nintendo DS,Sonic Rush,1.2,2005,Sega,Action,1,0,14.95,82,1,0,0,Action|SideScrolling,E
Sony PSP,Star Wars: Battlefront II,1.09,2005,LucasArts,Action,1,0,16.95,69,1,1,0,Action|SciFi|Shooter|FirstPerson|ThirdPerson,T
Sony PSP,SOCOM: U.S. Navy SEALs - Fireteam Bravo,1.07,2005,Sony,Action,1,0,14.95,82,1,1,0,Action|Shooter|Stealth|FirstPerson|ThirdPerson,M
X360,Need for Speed: Most Wanted,0.95,2005,EA,Racing / Driving,1,0,17.95,83,2,1,1,Racing|FirstPerson|ThirdPerson,T
Nintendo DS,Zoo Tycoon DS,0.92,2005,THQ,"Simulation, Strategy",0,1,12.95,44,1,0,0,Simulation|Strategy|Managerial|RealTime|Isometric,E
Nintendo DS,The Sims 2,0.83,2005,EA,"Role-Playing (RPG), Simulation",1,0,17.95,70,1,0,1,RPG|Simulation|Gameshow|Managerial|PersistentUniverse|Puzzle|RealTime|ThirdPerson,Unknown
Sony PSP,Namco Museum Battle Collection,0.77,2005,Namco,"Action, Racing / Driving",0,1,17.95,73,1,1,0,Action|Racing|Arcade|SideScrolling|TopDown,Unknown
Nintendo DS,Mario & Luigi: Partners in Time,0.75,2005,Nintendo,"Action, Role-Playing (RPG)",1,0,29.95,86,1,0,0,Action|RPG|Puzzle|Isometric,E
Sony PSP,Madden NFL 06,0.75,2005,EA,Sports,1,0,7.95,75,1,1,1,Sports|AmericanFootball|ThirdPerson,E
Sony PSP,Need for Speed Underground: Rivals,0.73,2005,EA,Racing / Driving,1,0,17.95,74,4,1,0,Racing|FirstPerson|ThirdPerson,E
Sony PSP,Twisted Metal: Head-On,0.73,2005,Sony,"Action, Racing / Driving",1,0,14.95,79,1,1,1,Action|Racing|Cyberpunk|ThirdPerson,T
X360,Perfect Dark Zero,0.7,2005,Microsoft,Action,1,0,17.95,79,4,1,0,Action|SciFi|Shooter|Spy|FirstPerson,M
Nintendo DS,Super Monkey Ball: Touch & Roll,0.7,2005,Sega,Action,1,0,15.95,63,1,0,0,Action|Puzzle|ThirdPerson,E
Nintendo DS,Super Princess Peach,0.7,2005,Nintendo,Action,0,0,29.95,75,1,0,0,Action|Puzzle|Platform|SideScrolling,E
Sony PSP,Burnout Legends,0.68,2005,EA,"Action, Racing / Driving",1,0,14.95,86,1,1,1,Action|Racing|FirstPerson|ThirdPerson,Unknown
X360,Madden NFL 06,0.62,2005,EA,Sports,1,0,4.95,74,2,1,1,Sports|AmericanFootball|ThirdPerson,E
